key,text,english,notes,tag,checked
Babylon,"ដានីយ៉ែល ២:៣២, ៣៦​-​៣៨; ៧:៤","Daniel 2:32, 36-38; 7:4","Daniel 2:32, 36-38; 7:4",B9,False
Medopersia,"ដានីយ៉ែល ២:៣២, ៣៩; ៧:៥","Daniel 2:32, 39; 7:5","Daniel 2:32, 39; 7:5",B9,False
Greece,"ដានីយ៉ែល ២:៣២, ៣៩; ៧:៦","Daniel 2:32, 39; 7:6","Daniel 2:32, 39; 7:6",B9,False
Rome,"ដានីយ៉ែល ២:៣៣, ៤០; ៧:៧","Daniel 2:33, 40; 7:7","Daniel 2:33, 40; 7:7",B9,False
Angloamerica,"ដានីយ៉ែល ២:៣៣, ៤១​-​៤៣","Daniel 2:33, 41-43","Daniel 2:33, 41-43",B9,False
Babylon_c,បាប៊ីឡូន,Babylon,Babylon,B9,False
Medopersia_c,មេឌី​ពើស៊ី,Medo-Persia,Medo-Persia,B9,False
Greece_c,ក្រិច,Greece,Greece,B9,False
Rome_c,រ៉ូម,Rome,Rome,B9,False
Angloamerica_c,អង់គ្លេស​អាម៉េរិក,Anglo-America,Anglo-America,B9,False
daniel2_1,ស្ដេច​នេប៊ូក្នេសា​បំផ្លាញ,King Nebuchadnezzar,King Nebuchadnezzar,B9,False
daniel2_2,ការធ្លាក់ចុះនៃយេរូសាឡិម,destroys Jerusalem,destroys Jerusalem,B9,False
daniel2_3,ការត្រួតត្រានៃបាប៉ីឡូន,Conquers Babylon,Conquers Babylon,B9,False
daniel2_4,ស៊ីរូស​បង្គាប់​ពួក​យូដា​ឲ្យ​ទៅ​,Cyrus decrees return,Cyrus decrees return,B9,False
daniel2_5,យេរូសាឡិម​វិញ,of Jews to Jerusalem,of Jews to Jerusalem,B9,False
daniel2_6,អាឡិចសង់​ដ៏​ខ្លាំង​ក្លា​,Alexander the Great,Alexander the Great,B9,False
daniel2_7,ការត្រួតត្រានៃពើស៉ី,conquers Persia,conquers Persia,B9,False
daniel2_8,គ្រប់​គ្រង​អ៊ីស្រាអែល,Rules over Israel,Rules over Israel,B9,False
daniel2_9,ការធ្លាក់ចុះនៃយេរូសាឡិម,Destroys Jerusalem,Destroys Jerusalem,B9,False
daniel2_10,អំឡុង​សង្គ្រាម​លោក​លើក​ទី​១,"During World War I,","During World War I,",B9,False
daniel2_11,មហាអំណាចអង់គ្លេសអាម៉េរិច,Anglo-American World Power,Anglo-American World Power,B9,False
daniel2_12,ចាប់ផ្តើមកាន់កាប់,comes into being,comes into being,B9,False
607BCE,ឆ្នាំ​៦០៧ មុន​គ.ស.,607 B.C.E.,607 B.C.E.,B9,False
539BCE,ឆ្នាំ​៥៣៩ មុន​គ.ស.,539 B.C.E.,539 B.C.E.,B9,False
537BCE,ឆ្នាំ​៥៣៧ មុន​គ.ស.,537 B.C.E.,537 B.C.E.,B9,False
331BCE,ឆ្នាំ​៣៣១ មុន​គ.ស.,331 B.C.E.,331 B.C.E.,B9,False
63BCE,ឆ្នាំ​៦៣ មុន​គ.ស.,63 B.C.E.,63 B.C.E.,B9,False
70CE,ឆ្នាំ​៧០ គ.ស.,70 C.E.,70 C.E.,B9,False
1914CE,ឆ្នាំ​១៩១៤​ដល់​ឆ្នាំ​១៩១៨ គ.ស.,1914-1918 C.E.,1914-1918 C.E.,B9,False
daniel2_shift,10,Start 4.2,10,float,False
7times,វិវរណៈ ១២:៩,Revelation 12:9,Revelation 12:9,scripture,False
infliction2,កិច្ចការ ៧:៦,Acts 7:6,Acts 7:6,scripture,False
eastern-zhou,៧៧០-២៥៦ មុនគ.ស,770-256 BC,770-256 BC,span_bc,False
430years,ឆ្នាំ 1943 - 1513 B.C.E.,1943 – 1513 B.C.E.,1943 – 1513 B.C.E.,span_bce,False
eastern-han,២៥-២២០ គ.ស,25-220 CE,25-220 CE,span_ce,False
northern-dynasties,៣៦៨-៥៨១ គ.ស,368-581 CE,368-581 CE,span_ce,False
southern-dynasties,៤២០-៥៨៩ គ.ស,420-589 CE,420-589 CE,span_ce,False
khmer_empire,804 – 1431,804 – 1431,804 – 1431 C.E.,timespan,True
byzantine_empire,330 – 1453,330 – 1453,330-1453 C.E.,timespan,True
ottoman_empire,1299 – 1922,1299 – 1922,1299 – 1922 C.E.,timespan,True
holy_roman_empire,800 – 924,800 – 924,800 – 924 C.E.,timespan,True
holy_roman_empire2,962 – 1806,962 – 1806,962 – 1806 C.E.,timespan,True
inca_empire,1438 – 1533,1438 – 1533,1438 – 1533 C.E.,timespan,True
gupta_empire,319 – 550,319 – 550,319 – 550 C.E.,timespan,True
Umayyad,661 – 750,661 – 750,661 – 750 C.E.,timespan,True
Abbasid,750 – 1258,750 – 1258,750 – 1258 C.E.,timespan,True
Mamluk,1250 – 1517,1250 – 1517,1250 – 1517 C.E.,timespan,True
seljuk_empire,1037 – 1194,1037 – 1194,1037 – 1194 C.E.,timespan,True
lombard,568 – 774,568 – 774,568 – 774 C.E.,timespan,True
qing-dynasty,1636-1912,1636-1912,1636-1912,timespan,True
ming-dynasty,1368-1644,1368-1644,1368-1644,timespan,True
yuan-dynasty,1271-1368,1271-1368,1271-1368,timespan,True
southern-song,1127-1279,1127-1279,1127-1279,timespan,True
northern-song,960-1127,960-1127,960-1127,timespan,True
western-xia,1038-1227,1038-1227,1038-1227,timespan,True
maya_classic,250–950,250–950,250-950,timespan,True
maya_postclassic,950-1539,950-1539,950-1539,timespan,True
tran_dynasty,1225–1400,1225–1400,1225 – 1400,timespan,True
le_dynasty,1428–1527,1428–1527,1428 – 1527,timespan,True
revival_le_dynasty,1533-1789,1533-1789,1533-1789,timespan,True
nguyen_dynasty,1802 – 1883,1802 – 1883,1802 – 1883,timespan,True
edo,1603 – 1868,1603 – 1868,1603 – 1868,timespan,True
meiji,1868 – 1912,1868 – 1912,1868 – 1912,timespan,True
Julius,ជូលីស,Julius,Julius,wiki,False
Caligula,កាលីហ្គូឡា,Caligula,Caligula,wiki,False
Nero,នីរ៉ូ,Nero,Nero,wiki,False
Galba-Otho-Vitellius,"ហ្គាបា, អូតូ និង វីតាលីស (ឆ្នាំនៃអធិរាជទាំងបួន)","Galba, Otho and Vitellius (Year of the Four Emperors)","Galba, Otho and Vitellius (Year of the Four Emperors)",wiki,False
Vespasian,វេស្ប៉ាសៀន,Vespasian,Vespasian,wiki,False
covid19,កូវីដ-១៩,Covid-19,Covid-19,wiki,False
nicaea1,ក្រុមប្រឹក្សាទីមួយនៃនីកា,First Council of Nicaea,First Council of Nicaea,wiki,False
oxyrhynchus,អាល់បាណាសា ផងដែរ។,Oxyrhynchus Papyri,Oxyrhynchus Papyri,wiki,False
p52,ផងដែរ។ P៥២,Papyrus P52,Papyrus P52,wiki,False
qing-dynasty_c,រាជវង្សឈីង,Qing dynasty,Qing dynasty,wiki,False
ming-dynasty_c,រាជវង្ស មីង នៅ​ចក្រភព​ចិន,Ming dynasty in imperial China,Ming dynasty in imperial China,wiki,False
yuan-dynasty_c,យន់,Yuan,Yuan,wiki,False
southern-song_c,ចម្រៀងភាគខាងត្បូង,Southern Song,Southern Song,wiki,False
northern-song_c,ចម្រៀងខាងជើង,Northern Song,Northern Song,wiki,False
western-xia_c,សៀខាងលិច,Western Xia,Western Xia,wiki,False
Copernicus,នីកូឡាស កូពែរនិច,Nicolaus Copernicus,Nicolaus Copernicus,wiki,False
Galileo,កាលីឡេអូ ហ្គាលីលី,Galileo Galilei,Galileo Galilei,wiki,False
Newton,អ៊ីសាក ញូតុន,Isaac Newton,Isaac Newton,wiki,False
shang-dynasty_c,រាជវង្ស ស៊ាង,Shang dynasty,Shang dynasty,wiki,False
western-zhou_c,ចូវខាងលិច,Western Zhou,Western Zhou,wiki,False
eastern-zhou_c,ចូវខាងកើត,Eastern Zhou,Eastern Zhou,wiki,False
western-han_c,ហានខាងលិច,Western Han,Western Han,wiki,False
eastern-han_c,ហានខាងកើត,Eastern Han,Eastern Han,wiki,False
three-kingdoms_c,ចិន,China,China,wiki,False
sixteen-kingdoms_c,ចិន,China,China,wiki,False
northern-dynasties_c,រាជវង្សខាងជើង,Northern dynasties,Northern dynasties,wiki,False
southern-dynasties_c,រាជវង្សខាងត្បូង,Southern dynasties,Southern dynasties,wiki,False
tang-dynasty2_c,រាជវង្សថាង,Tang dynasty,Tang dynasty,wiki,False
byzantine_empire_c,ចក្រភព ប៊ីហ្សីនទីន,Byzantine Empire,Byzantine Empire,wiki,False
ottoman_empire_c,ចក្រភពអូតូម៉ង់,Ottoman Empire,Ottoman Empire,wiki,False
Genghis,ជេនហ្គិស ខាន់,Genghis Khan,Genghis Khan,wiki,False
inca_empire_c,អាណាចក្រ Inca,Inca empire,Inca empire,wiki,False
gupta_empire_c,ចក្រភព ហ្គូតា,Gupta Empire,Gupta Empire,wiki,False
Teotihuacan_c,តេអូទីហួកាន,Teotihuacan,Teotihuacan,wiki,False
Abbasid_c,កាលីហ្វត អាបាស៊ី,Abbasid Caliphate,Abbasid Caliphate,wiki,False
Mamluk_c,ម៉មលូកស៊ុលតង់,Mamluk Sultanate,Mamluk Sultanate,wiki,False
Al-Ghazali,អាល់ហ្គាហ្សាលី,Al-Ghazali,Al-Ghazali,wiki,False
wulfila,ព្រះគម្ពីរ Wulfila,Wulfila Bible,Wulfila Bible,wiki,False
tran_dynasty_c,រាជវង្សត្រេន,Trần dynasty,Trần dynasty,wiki,False
le_dynasty_c,រាជវង្សឡេ,Lê dynasty,Lê dynasty,wiki,False
revival_le_dynasty_c,ស្តេចត្រិញ និងស្តេចង្វៀន,Trịnh lords and Nguyễn lords,Revival Lê dynasty,wiki,False
seljuk_empire_c,អាណាចក្រ Seljuk,Seljuk empire,Seljuk empire,wiki,False
vandals_c,វ៉ាន់ដាល់,Vandals,Vandals,wiki,False
lombard_c,ព្រះរាជាណាចក្រ Lombard,Lombard Kingdom,Lombard Kingdom,wiki,False
people,មនុស្ស,people,people,deprecated,False
judges,ចៅក្រម,judges,judges,deprecated,False
prophets,ហោរា,prophets,prophets,deprecated,False
kings,ស្តេច,kings,kings,deprecated,False
periods,រយៈពេល,periods,periods,deprecated,False
events,ព្រឹត្តិការណ៍,events,events,deprecated,False
objects,វត្ថុ,objects or items,objects or items,deprecated,False
event_destruction_samaria2,៧៤០ មុនគ.ស. ដោយ អាស្ស៊ីរី,740 B.C.E. by Assyria,740 B.C.E. by Assyria,deprecated,False
photodrama,ល្ខោនរូបថតនៃការបង្កើត ត្រូវបានបង្ហាញជាលើកដំបូងនៅញូវយ៉កនៅថ្ងៃទី ១១ ខែមករាឆ្នាំ ១៩១៤ ។,"The “Photo-Drama of Creation” is first shown in New York on January 11, 1914","The “Photo-Drama of Creation” is first shown in New York on January 11, 1914",deprecated,False
truth_book,"សៀវភៅ ""សេចក្តីពិតដែលនាំទៅរកជីវិតអស់កល្បជានិច្ច"" ចេញផ្សាយឆ្នាំ ១៩៦៨",The book “The Truth That Leads to Eternal Life” is released 1968,The book “The Truth That Leads to Eternal Life” is released 1968,deprecated,False
jw_broadcasting,ការផ្សាយ jw.broadcast នៅខែតុលា ឆ្នាំ ២០១៤,Start of JW Broadcasting® in October 2014,Start of JW Broadcasting® in October 2014,deprecated,False
meeting_workbook,"ទម្រង់ថ្មីនៃកិច្ចប្រជុំពាក់កណ្តាលសប្តាហ៍ជាមួយ ""សៀវភៅការងារ"" ដែលចាប់ផ្តើមពីខែមករា ឆ្នាំ ២០១៦",New format of midweek meeting with “Meeting Workbook” starting January 2016,New format of midweek meeting with “Meeting Workbook” starting January 2016,deprecated,False
terahfam,សមាជិកនៃគ្រួសាររបស់ ថេរ៉ា,Members of Terah’s family,Members of Terah’s family,deprecated,False
metropolitan,ការ​ចាប់​ផ្តើ​ម​នៃ​ការ​ធ្វើ​ជា​សាក្សី​ទី​ក្រុង​នៅ​ក្នុង ២០១១,Start of metropolitan witnessing in 2011,Start of metropolitan witnessing in 2011,deprecated,False
jw_org,ការចាប់ផ្តើមនៃ JW.ORG ជាមួយនឹងការណែនាំក្នុងកិច្ចបម្រើផ្សាយរបស់ព្រះរាជាណាចក្រ ខែធ្នូ ឆ្នាំ ២០១២,Start of JW.ORG with instructions in Kingdom Ministry December 2012,Start of JW.ORG with instructions in Kingdom Ministry December 2012,deprecated,False
Babylon2,គ្មានអត្ថបទឆ្វេងនិងស្តាំ - ទទេ!, , ,deprecated,False
Gatam,កាថាម,Gatam,Gatam,deprecated,False
Adbeel,អាតបៀល,Adbeel,Adbeel,deprecated,False
Mibsam,មីបសាម,Mibsam,Mibsam,deprecated,False
Dumah,ឌូម៉ា,Dumah,Dumah,deprecated,False
Massa,ម៉ាសា,Massa,Massa,deprecated,False
tang-dynasty1, , , ,deprecated,False
xia-dynasty,រាជវង្ស Xia នៅបករទេសចិនប្រហែល ឆ្នាំ២០៧០- ប្រហែល១៦០០ មុនគ.ស,Xia dynasty in China c. 2070 – c. 1600 BC,Xia dynasty in China c. 2070 – c. 1600 BC,deprecated,False
Midianites,"1) ជនជាតិម៉ាឌាន: ជនគណនា 31: 2, 3","1) Midianites: Numbers 31:2, 3","1) Midianites: Numbers 31:2, 3",deprecated,False
Moabites,"2) ជនជាតិម៉ូអាប់: ចោទិយកថា 23: 3, 4","2) Moabites: Deuteronomy 23:3, 4","2) Moabites: Deuteronomy 23:3, 4",deprecated,False
Ammonites,3) អាំម៉ូន: យ៉ូស្វេ 12: 2,3) Ammonites: Joshua 12:2,3) Ammonites: Joshua 12:2,deprecated,False
Edomites,4) ជនជាតិអេដុមៈជនគណនា 20: 14-17,4) Edomites: Numbers 20:14-17,4) Edomites: Numbers 20:14-17,deprecated,False
Temanites,5) ថេតានីនៈយ៉ូប 42: 7,5) Temanites: Job 42:7,5) Temanites: Job 42:7,deprecated,False
Amalekites,6) ជនជាតិអាម៉ាលេកៈសាំយូអែលទី 1 15: 2,6) Amalekites: 1 Samuel 15:2,6) Amalekites: 1 Samuel 15:2,deprecated,False
king_south_light,2025-02-05, , ,deprecated,False
king_north_light,2025-02-05, , ,deprecated,False
daniel2_iron,2025-02-05, , ,deprecated,False
